ID	Baso	Bmem	Bnv	CD4Tmem	CD4Tnv	CD8Tmem	CD8Tnv	Eos	Mono	NK	Neu	Treg
cg21782213	0.92949839	0.96153973	0.9595839	0.7729825	0.20829164	0.90856732	0.8963231	0.93511541	0.94224094	0.93302444	0.9366568	0.88422849
cg10168351	0.92625715	0.97715029	0.9762167	0.9044437	0.43562804	0.96996966	0.97001085	0.94302475	0.96789526	0.96429545	0.96605138	0.97144197
cg03156020	0.86780931	0.92791225	0.95803196	0.5040494	0.16952948	0.74468952	0.64575359	0.94974031	0.95196984	0.94548227	0.95541108	0.81161036
cg17537714	0.91997804	0.94892365	0.9548391	0.914937	0.32879396	0.95035855	0.6934821	0.95307892	0.93469703	0.89901373	0.93154298	0.93476067
cg13745692	0.93219582	0.92399147	0.83289467	0.6497312	0.22184412	0.93000071	0.87173232	0.92181583	0.93395658	0.93335676	0.91784247	0.70192139
cg04200580	0.92336623	0.95792077	0.97052938	0.7170418	0.37797092	0.92936315	0.76589832	0.94835029	0.96625556	0.88325038	0.94830069	0.82761083
cg15667493	0.86563295	0.91949944	0.93247844	0.7287983	0.30173951	0.82202584	0.6544454	0.91681531	0.90943371	0.86223889	0.87044809	0.85635131
cg21936454	0.96859539	0.9730083	0.97836907	0.9402058	0.39746658	0.96255994	0.83120346	0.97949465	0.96043863	0.88153343	0.94045654	0.95013321
cg15163862	0.91035439	0.92147825	0.90868173	0.777494	0.35572808	0.89963551	0.78690084	0.9399748	0.91986149	0.90524139	0.90904803	0.8279834
cg19792189	0.97179667	0.97269732	0.98435163	0.5263366	0.13593809	0.57215448	0.43848346	0.98377083	0.96680747	0.96521929	0.96365264	0.72729667
cg10161198	0.97237244	0.97534317	0.96319576	0.9390112	0.52118518	0.98373352	0.96244877	0.96000327	0.95459236	0.97499893	0.97033109	0.97073067
cg19111287	0.951501	0.95514105	0.94401183	0.7307275	0.4533199	0.87806266	0.88994059	0.88105063	0.88584332	0.92818441	0.7693111	0.93034015
cg05676874	0.91382791	0.86711409	0.97105267	0.5828111	0.261882	0.60806405	0.71577615	0.90673995	0.96137023	0.79583412	0.93805484	0.57859551
cg03132824	0.92651359	0.93601131	0.92484217	0.747876	0.4027671	0.93396295	0.94000296	0.92904568	0.92307692	0.93290404	0.92077115	0.92707446
cg17518643	0.94041795	0.96415121	0.95788091	0.5083682	0.17608594	0.83353935	0.68388234	0.52674609	0.90127995	0.89671913	0.88286789	0.58528444
cg09119854	0.89815173	0.88535894	0.899854	0.8856931	0.44927127	0.89392131	0.83553857	0.91428555	0.88370628	0.90379027	0.87650677	0.89549554
cg11778706	0.96518483	0.97471693	0.96236844	0.8938359	0.47486403	0.94895943	0.84092113	0.9726675	0.97285256	0.96730949	0.9694863	0.94370514
cg04887735	0.94872928	0.94003584	0.93078326	0.9282651	0.43220318	0.94504441	0.69024797	0.95369139	0.94037469	0.93848442	0.93549542	0.95899952
cg22324641	0.94922592	0.95954843	0.96143966	0.6280957	0.3887255	0.9421977	0.93045114	0.95654443	0.94862796	0.94914073	0.94499189	0.67536104
cg08842268	0.90487299	0.98118884	0.95749178	0.9170783	0.63912719	0.97007806	0.93574343	0.91344288	0.9477819	0.91952509	0.94242878	0.88700279
cg09438865	0.88639534	0.89385049	0.84155156	0.807161	0.38309881	0.90934723	0.74763917	0.83408852	0.86178272	0.87612304	0.87806066	0.74875147
cg08486432	0.90486971	0.94189462	0.91028233	0.7803743	0.36316333	0.91204994	0.72541587	0.91967478	0.9045015	0.92410979	0.91358087	0.80494688
cg04625250	0.80915884	0.87664957	0.90200789	0.7135563	0.30742012	0.85447218	0.75157615	0.82118614	0.94139628	0.92049653	0.91442745	0.56956312
cg08452021	0.86343411	0.65727046	0.93662062	0.5965594	0.20972862	0.60363049	0.47537109	0.8794155	0.92243679	0.85776053	0.90899425	0.59949344
cg20213624	0.85688739	0.95059424	0.95595581	0.6208238	0.34252217	0.64275713	0.65854083	0.94041342	0.93905867	0.9182273	0.93925541	0.95741241
cg02690807	0.94928724	0.95568552	0.96141179	0.9048408	0.57319662	0.93377005	0.92602233	0.93947905	0.9372435	0.93180897	0.9413507	0.8318761
cg22344918	0.89073805	0.90230815	0.90391657	0.528149	0.22274205	0.72802695	0.50570519	0.91031286	0.9197845	0.89138957	0.89449536	0.59815925
